Event,Count (multiplication)
instructions,24744680200468
cpu-cycles,19734870061154
branch-misses,1075883039
branch-instructions,552835855950
cache-references,1077033033409
cache-misses,355697005800
dtlb-read-accesses,8253756462592
dtlb-read-misses,8225626
dtlb-write-misses,189136
dtlb-write-accesses,1101658192372
l1d-read-accesses,8256321429827
l1d-read-misses,551279743974
l1d-write-accesses,1101859827094
ll-read-accesses,549922681488
ll-read-misses,191081880812
ll-write-accesses,87124293
ll-write-misses,63038117
time-elapsed,2h26m6.069608477s

