Event,Count (multiplication)
instructions,24743573079458
cpu-cycles,20006704814632
branch-misses,1075838472
branch-instructions,552830877603
cache-references,1062605018589
cache-misses,412368278486
dtlb-read-accesses,8254029842511
dtlb-read-misses,8919344
dtlb-write-misses,243163
dtlb-write-accesses,1101700557203
l1d-read-accesses,8255612634356
l1d-read-misses,551193242694
l1d-write-accesses,1101775651057
ll-read-accesses,549901253714
ll-read-misses,208697891769
ll-write-accesses,85384982
ll-write-misses,62075666
time-elapsed,2h29m46.22374918s

