Event,Count (multiplication)
instructions,24742805878204
cpu-cycles,19885127737399
branch-misses,1075800049
branch-instructions,552846919287
cache-references,1072567520324
cache-misses,392451307287
dtlb-read-accesses,8253946519468
dtlb-read-misses,14471076
dtlb-write-misses,298882
dtlb-write-accesses,1101719929943
l1d-read-accesses,8256142239266
l1d-read-misses,551309709601
l1d-write-accesses,1101822575635
ll-read-accesses,549912213072
ll-read-misses,211400382944
ll-write-accesses,94304458
ll-write-misses,71611720
time-elapsed,2h26m19.197609656s
