Event,Count (multiplication)
instructions,24746564800888
cpu-cycles,16681701330490
branch-misses,1076094200
branch-instructions,552877546352
cache-references,1063757736378
cache-misses,287367148344
dtlb-read-accesses,8253918010402
dtlb-read-misses,10101185
dtlb-write-misses,262496
dtlb-write-accesses,1101648108364
l1d-read-accesses,8255849632601
l1d-read-misses,551290909640
l1d-write-accesses,1101822423185
ll-read-accesses,540949550565
ll-read-misses,159020057223
ll-write-accesses,90997873
ll-write-misses,64473624
time-elapsed,1h56m54.043830875s
