Event,Count (multiplication)
instructions,27210272254763
cpu-cycles,6370001562384
branch-misses,8782987
branch-instructions,1089860083530
cache-references,9280985909
cache-misses,2313582028
dtlb-read-accesses,9681224769023
dtlb-read-misses,88145179
dtlb-write-misses,33105897
dtlb-write-accesses,1460402263320
l1d-read-accesses,9697623488407
l1d-read-misses,18943863639
l1d-write-accesses,1461192241590
ll-read-accesses,287173933
ll-read-misses,139957663
ll-write-accesses,12451
ll-write-misses,1980
time-elapsed,34m22.817700958s
