Event,Count (multiplication)
instructions,24979034274672
cpu-cycles,7639700429459
branch-misses,17753922611
branch-instructions,602787153588
cache-references,8851543216
cache-misses,6286809470
dtlb-read-accesses,8386663365539
dtlb-read-misses,1107315531
dtlb-write-misses,1082510
dtlb-write-accesses,1134925372940
l1d-read-accesses,8389540765576
l1d-read-misses,507700801916
l1d-write-accesses,1135081461631
ll-read-accesses,1229299319
ll-read-misses,968254658
ll-write-accesses,32560
ll-write-misses,2116
time-elapsed,41m14.231098478s
