Event,Count (multiplication)
cpu-cycles,8280238761714
branch-misses,4327659762
branch-instructions,562602338664
cache-misses,11057565192
dtlb-read-accesses,8279579655665
dtlb-read-accesses,8279992082424
dtlb-read-misses,11144349
dtlb-write-misses,296803
l1d-read-accesses,8282959504214
l1d-read-misses,548271784569
l1d-write-accesses,1108303059172
l1i-read-misses,1472753
ll-read-accesses,545071154556
ll-read-misses,5723839920
ll-write-accesses,20082105
ll-write-misses,6189564
time-elapsed,46m14.95726013s
