,version,matrix_size,tile_size,instructions,cpu-cycles,branch-misses,branch-instructions,cache-references,cache-misses,dtlb-read-accesses,dtlb-read-misses,dtlb-write-misses,dtlb-write-accesses,l1d-read-accesses,l1d-read-misses,l1d-write-accesses,ll-read-accesses,ll-read-misses,ll-write-accesses,ll-write-misses,time-elapsed,page_fault
0,v6,8192,8,25828147672293,8572364783866,1078259498,784676399861,112044107160,79652589978,8871438067508,15845558366,1270280762,1256103034638,8874080820227,58586771233,1256449022879,17697494545,13705369006,21272,13770,51m13.312285701s,0
1,v4,8192,8,25836139633268,6376008686654,1078449767,784975806096,7451850200,1378160317,8872964926772,52517391,129462,1256281106427,8874852162316,16319376115,1255963374152,818141035,66375249,17125,3451,34m24.641702636s,0
2,v2,8192,4,27248747866721,9155486801154,8039091,1090647980035,105324901673,70434635852,9687388321981,33582344722,8250707,1460272622619,9692260628798,83436148840,1460261351156,35980132625,30451315915,2204161,867852,55m48.446323177s,0
3,v2,8192,64,24851895910355,8103868366516,8730637174,575781732329,403790175351,2546922881,8314822711971,147094237,130943,1116941651761,8317288887301,534057397242,1117081984040,195228517574,233073350,7978097,9741,43m44.110036887s,0
4,v1,8192,64,24852151995329,7506802923063,8733749983,575781893539,16219272895,1821410564,8314871269810,148726967,116656,1116937521712,8317122622882,532068373885,1117075025946,9507371858,195126150,2191497,2635,40m30.930266896s,0
5,v2,8192,256,24760317169869,9037311214369,2156234475,556088956835,1025233326724,256304858,8262439740158,17593661,152813,1103812578576,8264565902416,549128645212,1103939420518,525644591467,16399459,29747437,1292,48m46.167246045s,0
6,v6,8192,512,24746501072059,9458838950150,1075937585,552863574977,1076998158844,3755053228,8253999905643,5279207,143245,1101671844898,8255856675955,550238301428,1101735934439,543149871125,1930681821,24672082,1336259,51m42.169145527s,0
7,v3,8192,128,24790749038134,8438006129614,4332403480,562596243091,383130490823,1305544505,8279574185827,71749987,239054,1108140197486,8282338187178,547778341768,1108326134941,205342484137,75004159,82470238,705,45m32.137413617s,0
8,v5,8192,8,25831057799230,6385803754752,1077655977,784819532116,7362014482,1369356648,8872651340532,56566966,11557164,1256441058578,8875452478599,16302588044,1256049780619,565966999,76512929,15944,552,34m27.850958967s,0
9,v2,8192,128,24790655392907,8467825269474,4331750058,562587890365,383809022296,927154742,8279561848226,41249966,134147,1108131342909,8282267636167,547714889952,1108382519718,205080996297,46140324,41492306,935,45m41.726943738s,0
10,v5,8192,256,24759781052257,8969888606339,2156213238,556073926687,1023460411540,232063453,8262343093013,7192376,140479,1103813181654,8264753918633,549090614442,1103963280186,524519700623,5331589,30472999,331,48m24.210939107s,0
11,v5,8192,512,24742145071941,16835487098321,1076057701,552882770082,1081333494095,270000360902,8254538462700,7628886,183092,1101773774827,8255071264095,550999681080,1101517837209,548823117561,148680158759,76954355,52559615,1h57m34.576201229s,0
12,v4,8192,128,24790500437311,9003823310921,4329236986,562604694376,1048155711148,574288503,8279805503731,5873373,139473,1108157881379,8282184057707,545808390765,1108323304489,529315993579,13157127,15297202,1853,48m35.576973421s,0
13,v5,8192,32,24977687669246,7522140035335,17753525518,602774128282,4814818764,1075931731,8386537424269,19749147,150073,1134941607656,8390137337884,507369429762,1135162360972,1722981438,33469662,229049,2601,40m35.846331759s,0
14,v6,8192,16,25242035121369,7783013140826,8772601478,659474731049,24052773443,16223870787,8538010838198,4276258955,3318367,1172772730998,8540880397458,464969609734,1172827964063,4572618474,3477569252,49173,2618,43m23.532799448s,0
15,v2,8192,8,25823341546437,6830596926060,1077684391,784614935290,29510278107,18244405243,8871811369905,8731565876,2048679,1256299662235,8875592412520,33028845863,1256312907717,9116510465,7746088728,231978,208471,38m6.178361254s,0
16,v4,8192,4,27202727906620,6356985568869,8903053,1088406463366,8628492321,2154592040,9677333162576,608953200,383782244,1459653128833,9700161324264,18625644781,1462579006383,280031977,118760418,4997,1929,34m18.535453491s,0
17,v5,8192,4,27210272254763,6370001562384,8782987,1089860083530,9280985909,2313582028,9681224769023,88145179,33105897,1460402263320,9697623488407,18943863639,1461192241590,287173933,139957663,12451,1980,34m22.817700958s,0
18,v4,8192,16,25242231697810,7296993580753,7261767511,659425666832,21126872724,715565370,8537718770156,29223669,100843,1172792390092,8542723234119,456714189279,1172968865120,13483447752,45278966,2469586,4717,39m22.663304544s,0
19,v1,8192,8,25825415157277,6796872212630,1078137780,784707365935,29130318249,15657200272,8871931096371,9222845726,508058,1256333081981,8876254616755,33694555984,1256179776629,9020718563,7731256044,857347,835488,37m55.202883597s,0
20,v1,8192,256,24759882989195,9026309729682,2156235733,556088053916,1023812602269,270616995,8262350716543,17007650,162065,1103803651324,8264857997554,549179109608,1104021483461,524687967979,15907570,29540864,892,48m42.939049913s,0
21,v4,8192,256,24759066492457,9021905731324,2156165471,556062149717,1025505172488,278680019,8262161629716,7417086,157314,1103814150658,8265078395811,549194036990,1104055764817,526053546510,10371711,39757908,17306,48m41.865728976s,0
22,v3,8192,512,24746173662593,9358625645638,1075993870,552868232952,1081592928011,3504685847,8253937887626,5571820,149526,1101653833550,8256082020092,550299481668,1101813962030,545425004902,1805707788,23312272,1611947,51m5.723101065s,0
23,v1,8192,512,24746564800888,16681701330490,1076094200,552877546352,1063757736378,287367148344,8253918010402,10101185,262496,1101648108364,8255849632601,551290909640,1101822423185,540949550565,159020057223,90997873,64473624,1h56m54.043830875s,0
24,v6,8192,128,24786097944739,9034243262762,4328981768,562574173969,1062219292830,794839242,8279570769339,71373477,313738,1108181084036,8282371705106,545753805920,1108366766888,537903608138,75493569,59499075,8993,48m46.061049444s,0
25,v1,8192,32,24979542549746,7558013193563,17753747960,602801041323,14186231538,5284015430,8386893039179,575251470,158613,1134954027551,8389699018514,507412741753,1135086817395,1304310226,917591697,80511,13923,40m47.628961177s,0
26,v5,8192,64,24852334151013,7503835550847,8733939008,575791804893,13789107017,581875740,8314976194548,11454510,129870,1116959892668,8317187131951,532124202874,1117060594559,9743950745,43733077,2187919,969,40m29.598418531s,0
27,v3,8192,4,27253505829118,14229993817483,11584945,1090904358508,458247146220,307658049502,9690640810442,59424881481,8591605711,1460736313318,9691931048106,232592814672,1459951390075,69913793593,54422475126,94621,94081,1h40m29.293782309s,0
28,v5,8192,128,24791104571706,8416698199521,4332476771,562600130163,387869211931,531150519,8279926578513,5271358,124431,1108158043177,8281790030354,547603617710,1108288968486,206897431222,10332092,45646037,1487,45m25.099132605s,0
29,v6,8192,32,24978351897563,7642711197836,17754145162,602781929640,9266997094,6098096790,8386518750964,1114110465,1063131,1134934967942,8390246346134,507864336819,1135188916622,1917615663,967383925,331230,1989,41m15.236429295s,0
30,v4,8192,512,24742540055893,9410169080507,1075786801,552799024571,1084264739701,5201311147,8253372630960,6706869,142753,1101647156231,8256480783881,550335177007,1101863520469,546882978770,2659067963,19159608,2119564,51m36.857990721s,0
31,v1,8192,4,27248849584257,9188662993520,7945375,1090662310296,104056898603,66648445011,9687993869070,35677107381,330881177,1460224166334,9690055195289,83744810097,1460295491330,36074324631,31666153091,3621814,2336030,56m12.076156973s,0
32,v6,8192,256,24760528789398,9006571041633,2156276187,556081906964,1025886988820,254989745,8262305902680,17239143,167878,1103797321086,8264676317031,549223301033,1103978945155,525803527637,17905263,70029392,1266,48m36.107867149s,0
33,v4,8192,64,24851359945570,8468682342559,8728994510,575746787318,355054864850,780407902,8314395891573,11365462,150160,1116927207537,8318430991714,540504128997,1117239366235,219198753949,21643006,33642081,8755,45m42.643753387s,0
34,v4,8192,32,24978086014439,7506006658022,17754504550,602790069350,3260106044,317761748,8386951148023,17453060,112197,1134972446507,8389769917007,507155147455,1135137744343,495543244,23428195,31454,399,40m30.591414631s,0
35,v2,8192,512,24745217971478,9089900239184,1076061953,552829259026,1083573594670,510160846,8253674556080,9099727,147739,1101642093283,8256204905678,550152332318,1101804517405,546549429117,84854202,18322940,32717,49m3.834954048s,0
36,v3,8192,64,24853495512504,7530045389207,8734184816,575802744783,14746445554,2653799043,8315096410073,281652183,588943,1116960656502,8317204282281,532117893644,1117027299498,9604039787,279179422,3519720,3663,40m38.240376403s,0
37,v3,8192,8,25825719342808,8618713881336,1078333964,784708976475,115088811457,77995116831,8871745056525,15736616642,1229104635,1256364995993,8876580183115,58420376583,1256493526416,17680749896,13847272653,20260,13064,51m31.244283317s,0
