Event,Count (multiplication)
cpu-cycles,8173216807711
branch-misses,4327555542
branch-instructions,562569097934
cache-misses,8453038317
dtlb-read-accesses,8279306014289
dtlb-read-accesses,8279791122316
dtlb-read-misses,66589944
dtlb-write-misses,405596
l1d-read-accesses,8282407844350
l1d-read-misses,548147492895
l1d-write-accesses,1108280189639
l1i-read-misses,1614919
ll-read-accesses,542505622634
ll-read-misses,4663791416
ll-write-accesses,30658934
ll-write-misses,4729386
time-elapsed,45m21.327373979s
