Event,Count (multiplication)
instructions,25824769907896
cpu-cycles,6748359105919
branch-misses,1078268926
branch-instructions,784627608971
cache-references,30132428374
cache-misses,15531916036
dtlb-read-accesses,8872149986512
dtlb-read-misses,8803905371
dtlb-write-misses,1831930
dtlb-write-accesses,1256336992915
l1d-read-accesses,8875692028663
l1d-read-misses,33205423953
l1d-write-accesses,1256454249848
ll-read-accesses,9066725968
ll-read-misses,6152206812
ll-write-accesses,880052
ll-write-misses,874835
time-elapsed,37m38.258721072s
