Event,Count (multiplication)
instructions,25832842844914
cpu-cycles,8584182259785
branch-misses,1080013120
branch-instructions,784945228054
cache-references,112368441238
cache-misses,78401864131
dtlb-read-accesses,8874010609684
dtlb-read-misses,15739614983
dtlb-write-misses,1240842644
dtlb-write-accesses,1256448711700
l1d-read-accesses,8874112590343
l1d-read-misses,58384000689
l1d-write-accesses,1256153390741
ll-read-accesses,17608480129
ll-read-misses,14062710899
ll-write-accesses,32014
ll-write-misses,21973
time-elapsed,51m17.232498265s
