Event,Count (multiplication)
instructions,394760967564
cpu-cycles,108133187379
branch-misses,81372910
branch-instructions,10309903022
cache-references,322101211
cache-misses,67350254
dtlb-read-accesses,133404325002
dtlb-read-misses,61170498
dtlb-write-misses,76288
dtlb-write-accesses,18322202676
l1d-read-accesses,133482846705
l1d-read-misses,7701771922
l1d-write-accesses,18316849716
ll-read-accesses,68782226
ll-read-misses,9896808
ll-write-accesses,510
ll-write-misses,51
time-elapsed,35.17784624s
