Event,Count (multiplication)
instructions,387357090904
cpu-cycles,130977802524
branch-misses,67679257
branch-instructions,8791445180
cache-references,6303589516
cache-misses,10909524
dtlb-read-accesses,129386294476
dtlb-read-misses,627400
dtlb-write-misses,7454
dtlb-write-accesses,17315681108
l1d-read-accesses,129395889669
l1d-read-misses,8557929177
l1d-write-accesses,17317040399
ll-read-accesses,3255156727
ll-read-misses,413786
ll-write-accesses,649996
ll-write-misses,17
time-elapsed,42.413703458s
