Event,Count (multiplication)
instructions,390302489716
cpu-cycles,112690517843
branch-misses,277093768
branch-instructions,9417898577
cache-references,218295562
cache-misses,32741151
dtlb-read-accesses,131038938360
dtlb-read-misses,4787329
dtlb-write-misses,7507
dtlb-write-accesses,17732497243
l1d-read-accesses,131093485203
l1d-read-misses,8065867964
l1d-write-accesses,17734109733
ll-read-accesses,17856636
ll-read-misses,2343450
ll-write-accesses,1342
ll-write-misses,161
time-elapsed,36.496366326s
