Event,Count (multiplication)
instructions,24790500437311
cpu-cycles,9003823310921
branch-misses,4329236986
branch-instructions,562604694376
cache-references,1048155711148
cache-misses,574288503
dtlb-read-accesses,8279805503731
dtlb-read-misses,5873373
dtlb-write-misses,139473
dtlb-write-accesses,1108157881379
l1d-read-accesses,8282184057707
l1d-read-misses,545808390765
l1d-write-accesses,1108323304489
ll-read-accesses,529315993579
ll-read-misses,13157127
ll-write-accesses,15297202
ll-write-misses,1853
time-elapsed,48m35.576973421s
