Event,Count (multiplication)
instructions,27257613090001
cpu-cycles,9041673381776
branch-misses,8435939
branch-instructions,1090794954661
cache-references,103272338558
cache-misses,70488348519
dtlb-read-accesses,9688513015464
dtlb-read-misses,35502361804
dtlb-write-misses,250519839
dtlb-write-accesses,1460175939599
l1d-read-accesses,9690818365670
l1d-read-misses,83627512230
l1d-write-accesses,1460287126769
ll-read-accesses,35856793848
ll-read-misses,34047212241
ll-write-accesses,6056563
ll-write-misses,5435110
time-elapsed,54m53.370172767s
