Event,Count (multiplication)
instructions,27231841948973
cpu-cycles,6328555171129
branch-misses,9000891
branch-instructions,1090032294349
cache-references,8108012003
cache-misses,2172509009
dtlb-read-accesses,9683453294432
dtlb-read-misses,580491304
dtlb-write-misses,358227527
dtlb-write-accesses,1460166976943
l1d-read-accesses,9699278248326
l1d-read-misses,18585794372
l1d-write-accesses,1461100006746
ll-read-accesses,256706925
ll-read-misses,128724071
ll-write-accesses,91994
ll-write-misses,87280
time-elapsed,34m9.37055875s
