Event,Count (multiplication)
instructions,27249411797997
cpu-cycles,15141863964962
branch-misses,11966475
branch-instructions,1090784944101
cache-references,460355524104
cache-misses,340983640209
dtlb-read-accesses,9688776250301
dtlb-read-misses,59348345874
dtlb-write-misses,8647959766
dtlb-write-accesses,1460411407895
l1d-read-accesses,9691612494891
l1d-read-misses,232970725698
l1d-write-accesses,1460310942844
ll-read-accesses,70041219976
ll-read-misses,57870699906
ll-write-accesses,460264
ll-write-misses,441774
time-elapsed,1h50m3.342799905s

